ProjectName,TechSkills,Link
Interview-Prep-AI,"Next.js, TypeScript, Firebase, Gemini LLM, Firebase Auth",https://github.com/VaibhavT04/Interview-Prep-AI
EduviaAI,"Next.js, TypeScript, PostgreSQL (NeonDB), DrizzleORM, Gemini LLM",https://github.com/VaibhavT04/Eduvia-AI
PrepMax,"Next.js, TypeScript, AI APIs",https://github.com/VaibhavT04/PrepMax
AI-Learning-Management-System,"JavaScript, AI APIs, Web Development",https://github.com/VaibhavT04/AI-Learning-Management-System
BizGenius-AI,"JavaScript, LLM APIs, AI Workflows",https://github.com/VaibhavT04/BizGenius-AI
LangGraph-CB,"LangGraph, LangChain, Python, LLM Agents",https://github.com/VaibhavT04/LangGraph-CB
HybridSearchRAG-Pinecone,"Python, LangChain, Pinecone, RAG",https://github.com/VaibhavT04/HybridSearchRAG-Pinecone
PDF-Document-RAG-QnA-Chat-with-History,"Python, LangChain, RAG, Vector DB",https://github.com/VaibhavT04/PDF-Document-RAG-QnA-Chat-with-History
GenAI-Langchain--Simple-URL-and-YT-sum,"Python, LangChain, LLM APIs",https://github.com/VaibhavT04/GenAI-Langchain--Simple-URL-and-YT-sum
Online-Meeting-Transcript-TaskExtractor,"TypeScript, NLP, LLM APIs",https://github.com/VaibhavT04/Online-Meeting-Transcript-TaskExtractor
Info-extractor,"Python, NLP, Information Extraction",https://github.com/VaibhavT04/Info-extractor
Neural-noMads-AgentX-hackathon,"LLM Agents, LangChain, Python",https://github.com/VaibhavT04/Neural-noMads-AgentX-hackathon
AI-Image-Generator-Diffusion-Model-and-ComfyUI,"Python, Stable Diffusion, ComfyUI",https://github.com/VaibhavT04/AI-Image-Generator-Diffusion-Model-and-ComfyUI
Fake_News_MultinomialNB,"Python, Scikit-learn, NLP",https://github.com/VaibhavT04/Fake_News_MultinomialNB
LSTM_Fake_News,"Python, TensorFlow, LSTM, NLP",https://github.com/VaibhavT04/LSTM_Fake_News
ANN-Bank-Customer-Churn-Classification,"Python, ANN, Scikit-learn",https://github.com/VaibhavT04/ANN-Bank-Customer-Churn-Classification
AI-Integrated-Article-Summarizer,"JavaScript, NLP, LLM APIs",https://github.com/VaibhavT04/AI-Integrated-Article-Summarizer-
portfolio,"Next.js, TypeScript, Tailwind CSS",https://github.com/VaibhavT04/portfolio
GitHub-Finder,"JavaScript, GitHub API",https://github.com/VaibhavT04/GitHub-Finder
Basics-of-DSA-Java,"Java, Data Structures",https://github.com/VaibhavT04/Basics-of-DSA-Java-
